 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, diffimgstatus, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 19 531 12 0 ZTF_g 475335634415 0 2.7478 89.8354 4.55814 26.3403 6.8009e-06 0.028416 -0.111223 1.28741e-05 661 30. 0.062723 0.053348 20.6 26.3403 1 2458229.8356366 531120144 1 19.3856560677007 30.2681298622005 0.712442330962198 1.4225333207912 147.562370407703 48.6308516064514 3.05477297960126 1.0670254088332 0.853658284539415 18.614999961853 0.0860000029206276 4.00899982452393 0.569000005722046 2458204.921053 2458334.676528 0
 20 531 12 0 ZTF_r 475378204415 0 2.238 196.624 5.53553 26.2816 4.3115e-06 0.0226709 0.110266 8.04186e-06 668 30. 0.059189 0.05436 20.5017 26.275 1 2458229.878206 531120244 1 35.6897756808009 35.5254286423668 1.11753026275453 3.80589030177669 91.7651846121908 61.4194810267169 1.50413560756187 1.0627578319008 1.40181889591131 17.9329999923706 0.131999999284744 8.97500038146973 0.591000020503998 2458186.939896 2458226.876562 0
 21 531 12 0 ZTF_g 478272214415 0 3.2855 82.2254 8.63287 26.209 1.781e-05 0.040639 -0.0521893 4.42505e-05 523 30. 0.062551 0.064646 19.6584 26.209 1 2458232.7722106 531120144 1 -19.9999198294619 58.4884025103235 -0.380376165609843 1.01546107167921 22.95912895801 81.551319031509 0.283425949291674 1.12482655163986 0.853658284539415 18.614999961853 0.0860000029206276 4.00899982452393 0.569000005722046 2458204.921053 2458334.676528 0
 22 531 12 0 ZTF_i 478335194415 0 1.7213 304.308 6.36016 25.7303 2.0249e-06 0.0232166 0.19482 1.14616e-05 670 30. 0.05563 0.059215 20.0868 25.7303 2 2458232.8351968 531120344 1 0.324773986823586 33.4869903337509 0.0107884715569644 3.79263758319931 -52.1896083705829 58.9379957699422 -0.891464117490038 1.063295103706 null null null null null 2458173.984468 2458332.659340 57
 23 531 12 0 ZTF_r 478356734415 0 2.1563 194.393 7.33521 26.2553 7.3669e-06 0.0297272 0.118636 1.37005e-05 666 30. 0.066949 0.072565 20.1758 26.2553 1 2458232.8567361 531120244 1 273.033512762562 63.6856041997747 4.76902373953127 8.26264652735349 601.24506087464 96.5143914265048 6.27154636739474 1.1792882780957 1.40181889591131 17.9329999923706 0.131999999284744 8.97500038146973 0.591000020503998 2458186.939896 2458226.876562 0
 24 531 12 0 ZTF_g 481299064415 0 2.1752 92.5947 13.7854 26.3021 1.49324e-05 0.0376253 -0.0206923 3.60262e-05 534 30. 0.052842 0.05111 19.5988 26.3021 1 2458235.7990625 531120144 1 -38.2961543380349 71.688684901868 -0.594236538592273 1.09963779385563 211.329630737502 118.009624666446 1.80284403548182 1.11933201465741 0.853658284539415 18.614999961853 0.0860000029206276 4.00899982452393 0.569000005722046 2458204.921053 2458334.676528 0
 25 531 12 0 ZTF_g 482290934415 0 2.4935 88.2793 18.3456 26.249 2.8985e-05 0.0435721 -0.00662482 8.06713e-05 383 30. 0.056696 0.062252 19.0932 26.249 2 2458236.7909375 531120144 1 86.6652836784189 109.152021643594 0.883218546579361 1.01504781763512 284.588301173693 167.188860661712 1.7136609378275 1.14838949448905 0.853658284539415 18.614999961853 0.0860000029206276 4.00899982452393 0.569000005722046 2458204.921053 2458334.676528 0
 26 1577 3 0 ZTF_g 482330770815 0 8.893 191.49 17.7943 26.2759 2.72277e-05 0.0394873 -0.00417395 7.21949e-05 339 30. 0.056015 0.057293 19.063 26.2759 2 2458236.8307755 1577120108 1 -30.5208779020674 108.265061582227 -0.313590931627356 1.04017821809832 -50.0090107514815 159.844050086886 -0.314968397564941 1.13013068692058 3.74619945254094 17.3960000991821 0.0949999988079071 3.95700001716614 0.199000000953674 2458508.038785 2459671.958403 0
 27 531 12 0 ZTF_g 482331684415 0 2.6897 89.5089 17.9772 26.2768 3.28583e-05 0.044054 -0.0284039 9.91756e-05 360 30. 0.060519 0.07261 19.1254 26.2768 1 2458236.8316898 531120144 1 117.905572819111 118.789583720893 1.10410600832144 0.903166478221845 199.514053931694 175.014109881336 1.14766628073664 1.1922369643003 0.853658284539415 18.614999961853 0.0860000029206276 4.00899982452393 0.569000005722046 2458204.921053 2458334.676528 0
 28 531 12 0 ZTF_g 482332144415 0 2.7664 89.6748 18.0432 26.2756 2.74892e-05 0.0400633 -0.0292465 8.09722e-05 368 30. 0.060885 0.064477 19.1254 26.2756 1 2458236.8321412 531120144 1 -30.5793942819009 109.905750931794 -0.309501858916933 1.08759438555662 -4.66642448401624 162.72247246343 -0.0288703400967201 1.18250099212129 0.853658284539415 18.614999961853 0.0860000029206276 4.00899982452393 0.569000005722046 2458204.921053 2458334.676528 0
