obs_id,target_name,s_ra,s_dec,instrument_name,filters,proposal_id,proposal_pi,obs_title,t_min,t_max,t_exptime,calib_level,dataproduct_type
hst_16741_1f_wfc3_uvis_f275w_iepo1f,SN2004GC-HOST,80.45734583333,6.676897222222,WFC3/UVIS,F275W,16741,"Galbany, Lluis",,59555.96576026,59555.98807487,1650.0,3,image
hst_15980_u4_wfc3_uvis_f275w_ie4ju4,AT2019WXT,28.92475,31.41788888889,WFC3/UVIS,F275W,15980,"Levan, Andrew James",,59136.69989866,59136.72922734,2120.0,3,image
icr845q0q,DARK,135.3661235187,20.37356094989,WFC3/UVIS,F275W,14005,"Khandrika, Harish",WFC3 UVIS Unflashed Monitor,57096.683217094906,57096.69363353009,900.0,2,image
icr872j6q,DARK,261.9336644866,-5.076316280317,WFC3/UVIS,F275W,14005,"Khandrika, Harish",WFC3 UVIS Unflashed Monitor,57180.22679540509,57180.2372122338,900.0,2,image
icrw06030,GD-153,194.2595223839,22.0304156625,WFC3/UVIS,F275W,14021,"Deustua, Susana E.",WFC3 UVIS & IR Photometry Zero Points,57244.07484082176,57244.122056134256,10.8,3,image
icrw07030,GD-153,194.2595223801,22.03041564687,WFC3/UVIS,F275W,14021,"Deustua, Susana E.",WFC3 UVIS & IR Photometry Zero Points,57244.17557005787,57244.192947256946,10.8,3,image
hst_15654_36_wfc3_uvis_f275w_idxr36,NGC-4689,191.93982,13.76281944444,WFC3/UVIS,F275W,15654,"Lee, Janice",,58876.71131442,58876.85019162,2190.0,3,image
hst_15654_24_wfc3_uvis_f275w_idxr24,NGC-4254-W,184.6955345833,14.41058055556,WFC3/UVIS,F275W,15654,"Lee, Janice",,58931.52670987,58931.66657077,2190.0,3,image
hst_16741_36_wfc3_uvis_f275w_iepo36,CSP13ABM-HOST,46.49849791667,4.54605,WFC3/UVIS,F275W,16741,"Galbany, Lluis",,59554.36640804,59554.38872301,1650.0,3,image
hst_16741_1y_wfc3_uvis_f275w_iepo1y,SN2006E-HOST,208.3606433333,5.207427777778,WFC3/UVIS,F275W,16741,"Galbany, Lluis",,59639.89690876,59639.92025374,1600.0,3,image
icrw090c0,EGGR-247,76.37760686263,52.83071130139,WFC3/UVIS,F275W,14021,"Deustua, Susana E.",WFC3 UVIS & IR Photometry Zero Points,57252.061461840276,57252.073423877315,4.5,3,image
icry01030,SWIFT-J1910.2-0546,287.595,-5.799444444444,WFC3/UVIS,F275W,13939,"Miller, Jon Matthew",The nature of the transient X-ray binary Swift J1910.2-0546,57253.35117260417,57253.416415706015,1731.0,3,image
icrw080c0,EGGR-247,76.37760682102,52.83071160351,WFC3/UVIS,F275W,14021,"Deustua, Susana E.",WFC3 UVIS & IR Photometry Zero Points,57247.62478371528,57247.63672126157,4.199999999999999,3,image
