fits_file,center_ra_deg,center_dec_deg,radius_arcsec,tns_name,tns_ra_deg,tns_dec_deg,sep_arcsec,tns_type,tns_redshift,tns_discoverydate
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drz/MAST_2025-09-30T13_17_04.941Z/HST/iepo3b010_drz.fits,28.841162667701706,6.5995224540879125,119.37387306654419,2018gkq,28.8420415,6.6120678,45.27246257580597,AGN,0.017,2018-09-04 09:47:31.000
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drz/MAST_2025-09-30T13_17_04.941Z/HST/iepo3r010_drz.fits,21.346989489230413,-18.173585663457942,119.37387306655144,2024tze,21.3401935947,-18.1677622366,31.302427584323066,,,2024-08-27 13:28:35.328
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drz/MAST_2025-09-30T13_17_04.941Z/HST/iepo3y010_drz.fits,84.98628586124589,-40.517698973293044,119.37387306652676,2016yr,84.989583,-40.516194,10.52508493763684,SN Ia,0.037,2016-01-29 06:28:48.000
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drz/MAST_2025-09-30T13_17_04.941Z/HST/iepo4h010_drz.fits,326.56138416130347,-46.52995880836952,119.37387306653073,2024fab,326.56639125,-46.51336875,60.9984899747024,,,2024-03-27 09:00:06.048
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drz/MAST_2025-09-30T13_17_04.941Z/HST/iepo4j010_drz.fits,62.043912469966486,-8.84127976236029,119.38830246674914,2018ezx,62.03371,-8.83318,46.55564896246354,SN Ia,0.0329,2018-08-12 09:07:12.000
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drz/MAST_2025-09-30T13_17_04.941Z/HST/iepo64010_drz.fits,207.50352253505432,9.641385394196876,119.36030004767673,2016brd,207.507971201,9.66572804866,89.04445114403083,,,2016-04-12 08:59:20.000
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g03010_drc.fits,134.08460397521003,-0.45153903876527207,119.3883024667007,2021dov,134.077958,-0.442139,41.44333834798169,SN Ia,0.012,2021-02-22 06:36:00.000
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g04010_drc.fits,35.07509104658042,-40.88168218350337,119.37387306648934,2016ecm,35.060417,-40.88475,41.438130641990746,,,2016-05-23 04:10:33.000
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g08010_drc.fits,121.40977010980059,-11.42979831197089,120.25478797736335,2018gv,121.394083,-11.438019,62.76757072333345,SN Ia,0.0053,2018-01-15 16:21:06.000
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g09010_drc.fits,206.91128838415742,-29.42353086510096,119.36030004767731,2021bmw,206.915448889,-29.4318444444,32.64841092577053,SN II,0.012752,2021-02-02 12:53:16.800
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0a010_drc.fits,37.51297087024126,28.63371996600296,119.38830246674239,2021afkk,37.4998676863,28.6341857571,41.436295742056764,SN II,0.0138,2021-11-25 08:54:14.400
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0b010_drc.fits,184.5918320050582,0.24781840251947582,119.373873066484,2016jhr,184.582708,0.254828,41.42039340851286,SN Ia,,2016-04-04 08:23:59.000
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0c010_drc.fits,216.60360845937123,5.857650482071185,119.38830246674533,2021csp,216.592143243,5.85921558693,41.44399371923199,SN Icn,0.083,2021-02-11 12:12:05.760
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0e010_drc.fits,145.4312281362949,-28.181227950323837,119.37387306655114,2021acnt,145.4285,-28.202489,77.0277059545907,SN Ia,0.008,2021-10-26 14:52:48.000
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0i010_drc.fits,359.114179888802,-29.027233641926927,119.37387306660463,2019fkq,359.101625,-29.023781,41.42943907809596,SN Ia,0.045,2019-05-14 09:11:31.000
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0j010_drc.fits,34.61098544946382,5.642031963517151,119.3738730665451,2025abev,34.604979474101,5.6595830671576,66.74707251628014,,,2025-10-21 22:52:19.200
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0k010_drc.fits,146.59513562371663,3.0633456390064535,119.38830246672488,2023abqf,146.583875,3.071239,49.45825340499648,SN Ia,0.02,2023-12-26 11:48:46.944
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0k010_drc.fits,146.59513562371663,3.0633456390064535,119.38830246672488,2020jsh,146.589292,3.073269,41.44273886123415,SN Ia,0.01998,2020-05-12 03:43:05.952
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0n010_drc.fits,10.043383918183622,-10.451982638887147,119.37387306655067,2018idx,10.0439897,-10.4406484,40.85958427413525,,,2018-11-03 04:37:58.000
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0o010_drc.fits,45.55586073129995,15.922185547947224,119.38830246673002,2022cuk,45.5461647,15.9275031,38.64124445994186,,,2022-02-17 03:18:07.776
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0p010_drc.fits,155.38839112613866,8.395707424278086,119.38830246675808,2022csd,155.3830965,8.4055295,40.07301594971836,SN II,0.0326679982,2022-02-19 08:05:42.720
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0q010_drc.fits,116.3554662762478,-71.40987504156561,119.34501889717895,2020uad,116.308583,-71.412261,54.48430672822153,,,2020-09-21 13:30:43.200
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0q010_drc.fits,116.3554662762478,-71.40987504156561,119.34501889717895,2016iye,116.332167,-71.404972,32.04299371564888,SN IIb,0.03,2016-12-19 11:23:45.000
