targname,matched_snname,cubename,rasn,decsn,sntype,fits_subfolder,fits_filename,fits_relpath,redshift,redshift_source
SN2003IC-HOST,SN2003ic,Holm15A,00:41:50.230,-09:18:19.01,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g2z010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g2z010_drc.fits,0.055541,corez_zobs
IC1481-HOST,SN2000ey,IC1481,23:19:25.200,+05:54:21.10,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g1g010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g1g010_drc.fits,0.0205,corez_zobs
IC219-HOST,SN2005dm,IC219,02:18:39.250,-06:54:10.80,Ia-91bg,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g1h010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g1h010_drc.fits,0.016847,corez_zobs
IC2560-HOST,SN2020ejm,IC2560,10:16:18.850,-33:33:49.17,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g1i010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g1i010_drc.fits,0.009716,corez_zobs
IC4296-HOST,SN2017dps,IC4296,13:36:40.039,-33:58:01.29,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g1j010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g1j010_drc.fits,0.012493,corez_zobs
IC5179-HOST,SN1999ee,IC5179,22:16:10.001,-36:50:39.70,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g1k010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g1k010_drc.fits,0.011292,corez_zobs
KISS13J-HOST,KISS13j,KISS13j,12:09:39.70,+16:12:14.30,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo53010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo53010_drc.fits,0.076476,corez_zobs
KISS13L-HOST,KISS13l,KISS13l,11:14:54.07,+29:35:06.00,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g24010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g24010_drc.fits,0.13081,corez_zobs
KISS15N-HOST,KISS15n,KISS15n,13:00:32.33,+27:58:41.00,Ia-03fg,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g26010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g26010_drc.fits,0.02346,corez_zobs
LSQ11BK-HOST,LSQ11bk,LSQ11bk,04:20:44.25,-08:35:55.75,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g1q010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g1q010_drc.fits,0.040345,corez_zobs
LSQ11OT-HOST,LSQ11ot,LSQ11ot,05:15:48.34,+06:46:39.36,Ia-91T,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo57010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo57010_drc.fits,0.027385,corez_zobs
LSQ11PN-HOST,SN2011jq,LSQ11pn,05:16:41.549,+06:29:30.19,Ia-91bg,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo58010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo58010_drc.fits,0.033029,corez_zobs
LSQ12BLD-HOST,LSQ12bld,LSQ12bld,13:42:44.03,+08:05:33.74,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo61010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo61010_drc.fits,0.083578,corez_zobs
LSQ12BTN-HOST,LSQ12btn,LSQ12btn,09:21:30.50,-09:41:29.86,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g13010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g13010_drc.fits,0.054152,corez_zobs
LSQ12CA-HOST,LSQ12ca,LSQ12ca,05:31:03.62,-19:47:59.28,Ia-91T,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo63010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo63010_drc.fits,0.098679,corez_zobs
LSQ12CDA-HOST,LSQ12cda,LSQ12cda,13:50:02.32,+09:37:47.10,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo64010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo64010_drc.fits,0.137579,corez_zobs
LSQ12CFX-HOST,LSQ12cfx,LSQ12cfx,13:59:40.96,-25:22:50.98,Ia-91T,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo65010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo65010_drc.fits,0.037941,corez_zobs
