fits_file,tns_name,tns_type,sep_arcsec,tns_ra_deg,tns_dec_deg,center_ra_deg,center_dec_deg,radius_arcsec
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g74010_drc.fits,2016gwl,SN Ia,50.910607089648394,140.86675,-23.16965,140.88194063186322,-23.171877543245262,119.37387306647965
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g76010_drc.fits,2019dxd,SN II,28.427468843946052,163.6742599,-21.066968666667,163.66626033565043,-21.06954384303261,120.24027326132487
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g81010_drc.fits,2016hnk,SN Ia,42.41117406043332,33.319312,-7.661332,33.31907740405811,-7.673110587251845,119.38830246673204
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g85010_drc.fits,2025gc,SN Ic,28.278274632971065,170.916756027,-22.269212988,170.9111830721856,-22.263288168775453,119.36030004763322
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g86010_drc.fits,2019np,SN Ia,56.50088591601123,157.341583,29.510639,157.3332824613093,29.49670577222398,120.254787977367
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g87010_drc.fits,2021adlr,SN II,41.43901271852889,47.799,-8.469561,47.80954081429833,-8.474439751078501,119.38830246674594
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g88010_drc.fits,2018agk,SN Ia,41.43276569465693,197.651555472,-4.48574127155,197.6467589800722,-4.475272580813239,119.36030004766938
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g90010_drc.fits,2021gno,SN Ib,31.9693903855286,183.042875,13.249181,183.0493802598988,13.242954872584022,120.24027326132992
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g92010_drc.fits,2021aess,SN IIn-pec,29.77722209456158,53.450583,-19.4957,53.44816355534762,-19.4877492194053,120.25478797738003
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g94010_drc.fits,2022crv,SN Ib,39.90110725947308,148.607958,-25.7031,148.6201912958353,-25.704259721229736,120.26826983666666
