snname,cubename,sem,rasn,decsn,sntype,notes
                SN1971S,               SN2016hgm, P103 ,01:22:12.1   ,+00:57:21.00  ,II      ,
              SN2022ywf,               SN2016hgm, P103 ,01:22:12.196 ,+00:57:23.68  ,Ia      ,
              SN2018cvn,               SN2018cvn, P103 ,01:30:27.12  ,-26:47:06.7   ,IIn     ,
            ASASSN-15kj,             ASASSN-15kj, P103 ,01:58:11.53  ,-39:32:49.7   ,Ic      ,4 pointings with bad seeing not used
               SN2015ap,                SN2015ap, P103 ,02:05:13.320 ,+06:06:08.39  ,Ib      ,
              SN2016cyx,               SN2016cyx, P103 ,02:21:22.786 ,+16:33:54.95  ,II      ,
              SN2025oas,               SN2016cyx, P103 ,02:21:24.795 ,+16:34:08.27  ,II      ,
              SN2017gry,               SN2017gry, P103 ,03:28:07.94  ,-56:34:41.99  ,II      ,
              SN2023xry,               SN2017gry, P103 ,03:28:07.26  ,-56:34:35.63  ,Ia      ,
              SN2018aad,               SN2018aad, P103 ,03:58:01.540 ,-65:30:24.34  ,II-pec  ,
              SN2016eso,               SN2016eso, P103 ,04:59:30.056 ,-28:51:39.24  ,IIn     ,
              SN2018dfh,               SN2018dfh, P103 ,05:11:33.459 ,-21:16:10.27  ,II      ,
              SN2016aqf,               SN2016aqf, P103 ,05:46:23.907 ,-52:05:18.86  ,II      ,COMBINED 8 POINTINGS P103 and P104
                SN2015W,                 SN2015W, P103 ,06:57:43.030 ,+13:34:45.70  ,II      ,COMBINED 8 POINTINGS P103 and P104
            SN2017hpi_A,             SN2017hpi_A, P103 ,08:15:43.390 ,-28:51:19.66  ,-       ,SN SPECTRUM HERE
               SN2018bl,                SN2018bl, P103 ,08:24:11.590 ,-77:47:16.55  ,II      ,
               SN2015an,                SN2015an, P103 ,08:24:15.100 ,-18:46:28.50  ,II      ,
              SN2018ant,               SN2018ant, P103 ,08:36:31.450 ,-11:49:40.87  ,II      ,
               SN2015bj,                SN2015bj, P103 ,09:19:52.86  ,-68:54:41.9   ,II      ,
             SN2021agdm,                SN2015bj, P103 ,09:19:49.520 ,-68:54:32.87  ,II      ,
               SN2016zb,                SN2016zb, P103 ,09:42:29.200 ,-16:58:26.90  ,II      ,
            ASASSN-15jp,             ASASSN-15jp, P103 ,10:11:38.99  ,-31:39:04.0   ,II      ,
               SN2018ie,                SN2018ie, P103 ,10:54:01.040 ,-16:01:21.58  ,Ic-BL   ,
               SN2014dw,                SN2014dw, P103 ,11:10:48.410 ,-37:27:02.20  ,II      ,
                LSQ15xp,                 LSQ15xp, P103 ,11:32:42.79  ,-16:44:01.2   ,II      ,
              SN2016blb,               SN2016blb, P103 ,11:37:20.700 ,-04:54:36.50  ,II      ,ONLY ONE POINTING THE OTHER TWO TILTED
              SN2016adl,               SN2016adl, P103 ,11:51:56.200 ,-13:25:03.10  ,II      ,
                SN2016B,                 SN2016B, P103 ,11:55:04.246 ,+01:43:06.78  ,II      ,COMBINED 8 POINTINGS P103 and P104
               SN2018yo,                SN2018yo, P103 ,12:41:11.160 ,-01:35:19.79  ,II      ,
              SN2016aai,               SN2016aai, P103 ,12:50:28.14  ,-10:50:29.2   ,II      ,COMBINED 8 POINTINGS 
                SN2016X,                 SN2016X, P103 ,12:55:15.610 ,+00:05:59.35  ,II      ,COMBINED 8 POINTINGS P103 and P104
               SN2018pq,                SN2018pq, P103 ,12:55:31.291 ,-50:03:16.96  ,II      ,
            ASASSN-15bb,             ASASSN-15bb, P103 ,13:01:06.38  ,-36:36:00.17  ,II      ,
              SN2016cyk,               SN2016cyk, P103 ,13:02:44.297 ,-26:56:27.24  ,II      ,
              SN2017faa,               SN2017faa, P103 ,13:19:03.900 ,-02:30:45.90  ,II      ,
            ASASSN-15fz,             ASASSN-15fz, P103 ,13:35:25.14  ,+01:24:33.0   ,II      ,COMBINED 5 POINTINGS 
            ASASSN-15kz,             ASASSN-15kz, P103 ,13:37:18.67  ,-28:39:23.55  ,II      ,COMBINED 8 POINTINGS 
                SN2016C,                 SN2016C, P103 ,13:38:05.300 ,-17:51:15.30  ,II      ,
            ASASSN-15ng,             ASASSN-15ng, P103 ,13:51:31.65  ,-48:04:33.73  ,II      ,
                SN2016P,                 SN2016P, P103 ,13:57:31.100 ,+06:05:51.00  ,Ic-BL   ,
               SN2003bl,                 SN2016P, P103 ,13:57:30.65  ,+06:05:36.4   ,II      ,
               SN2010do,                 SN2016P, P103 ,13:57:28.11  ,+06:05:48.5   ,Ic      ,
              SN2018ddr,               SN2018ddr, P103 ,13:58:38.470 ,+07:13:01.27  ,IIb     ,
              SN2018dfg,               SN2018dfg, P103 ,14:06:34.709 ,-05:27:01.76  ,II      ,JOINED WITH SN2005P from Lyman
                SN2005P,               SN2018dfg, P103 ,14:06:34.010 ,-05:27:42.59  ,Ia-02cx ,NO LC 
              SN2016ccm,               SN2016ccm, P103 ,14:09:58.91  ,+17:45:48.24  ,II      ,
                SN2016I,                 SN2016I, P103 ,14:39:44.733 ,+23:23:43.27  ,II      ,
                SN2016L,                 SN2016L, P103 ,15:00:27.470 ,-13:33:09.00  ,II      ,
            ASASSN-15hs,             ASASSN-15hs, P103 ,15:33:34.31  ,-78:07:23.5   ,IIn     ,
              SN2017ivu,               SN2017ivu, P103 ,15:36:32.710 ,+16:36:20.09  ,II      ,
