sn_name,cubename,sn_ra_deg,sn_dec_deg,sn_type,sem,notes,obs_id,target_name,proposal_id,proposal_pi,instrument_name,filters,sep_arcsec,t_exptime,calib_level,t_min,t_max,obs_title
SN1926A,NGC4303,185.47541666666663,4.493611111111111,II      ,arx  ,,hst_skycell-p1458x13y04_wfc3_uvis_f275w_all,SN2014DT,,,WFC3/UVIS,F275W,94.10049276604472,3048.0,3,57812.13591229,58937.87605003,
SN1940E,NGC0253,11.880833333333332,-25.29361111111111,I       ,arx  ,HUGE GALAXY TO BE COMBINED AT SOME POINT -- TO DO --,hst_17809_13_wfc3_uvis_f275w_ifgb13,NGC-253-V13,17809,"Thilker, David",WFC3/UVIS,F275W,78.59454452105649,2190.0,3,60875.64756454,60875.80431248,
SN1960F,NGC4496A,187.92520833333333,3.9466111111111113,Ia      ,arx  ,COMBINED 8 POINTINGS,hst_17502_23_wfc3_uvis_f275w_ifab23,NGC4496A,17502,"Thilker, David",WFC3/UVIS,F275W,41.91150470542367,2075.0,3,60405.58208514,60405.72220086,
SN1961I,NGC4303,185.50182916666665,4.470361111111111,II      ,arx  ,,hst_skycell-p1458x13y04_wfc3_uvis_f275w_all,SN2014DT,,,WFC3/UVIS,F275W,43.21800911062447,3048.0,3,57812.13591229,58937.87605003,
SN1964F,NGC4303,185.4708333333333,4.474166666666667,II      ,arx  ,,hst_skycell-p1458x13y04_wfc3_uvis_f275w_all,SN2014DT,,,WFC3/UVIS,F275W,68.86778041431111,3048.0,3,57812.13591229,58937.87605003,
SN1968L,NGC5236,204.25212916666663,-29.866388888888892,II      ,arx  ,HUGE MOSAIC NGC5236 TO BE DONE -- TO DO --,iezo04010,NGC-5236,17225,"Calzetti, Daniela",WFC3/UVIS,F275W,4.766776804887287,2340.0,3,59963.64294938657,59963.674858796294,The (Ir)Regularities of Dust Attenuation in Star Forming Galaxies
SN1971S,SN2016hgm,20.550416666666667,0.9558333333333333,II      ,P103 ,,hst_16287_at_wfc3_uvis_f275w_iebjat,SNHUNT327-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,49.3409118081605,1500.0,3,59127.03398422,59127.0545629,
SN1972Q,NGC4254,184.71166666666664,14.444444444444445,II      ,arx  ,PHANGS,hst_15654_23_wfc3_uvis_f275w_idxr23,NGC-4254-E,15654,"Lee, Janice",WFC3/UVIS,F275W,86.83351800453863,2250.0,3,58929.67135098,58929.86850373,
SN1981D,SN1981D,50.66,-37.23277777777778,Ia      ,arx  ,THIS NEED TO BE JOINED WITH SN2006dd in NGC1316 -- TO DO -- NO LC           ,hst_16741_4i_wfc3_uvis_f275w_iepo4i,SN2006DD-HOST,16741,"Galbany, Lluis",WFC3/UVIS,F275W,91.81789464196844,1600.0,3,59815.97168288,59815.99502786,
SN1983V,NGC1365,53.381920833333325,-36.148580555555554,II      ,arx  ,PHANGS,hst_15654_09_wfc3_uvis_f275w_idxr09,NGC-1365-N,15654,"Lee, Janice",WFC3/UVIS,F275W,71.7433107246092,2190.0,3,58684.8835411,58685.02251089,
