obs_id,target_name,s_ra,s_dec,instrument_name,filters,proposal_id,proposal_pi,obs_title,t_min,t_max,t_exptime,calib_level,dataproduct_type,sep_arcsec,sn_name,cubename,sn_ra_deg,sn_dec_deg,sn_type,sem,notes
ie1b21euq,DARK,53.1300842832,-27.87636659914,WFC3/UVIS,F275W,15718,"Martlin, Catherine A",WFC3 UVIS Post-flash Monitor,58930.21629320602,58930.21629892361,0.5,2,image,77.10340108150245,SN2012fq,CANDELSCDFS16,53.13707916666666,-27.855861111111114,Ia      ,arx  ,NO LC - REDSHIFT VERY LARGE -> RESTFRAME VERY BLUE. ANALYZE INDEPENDENTLY
ie1b21evq,DARK,53.1300842832,-27.87636659914,WFC3/UVIS,F275W,15718,"Martlin, Catherine A",WFC3 UVIS Post-flash Monitor,58930.21736952546,58930.21737519676,0.5,2,image,77.10340108150245,SN2012fq,CANDELSCDFS16,53.13707916666666,-27.855861111111114,Ia      ,arx  ,NO LC - REDSHIFT VERY LARGE -> RESTFRAME VERY BLUE. ANALYZE INDEPENDENTLY
ie1b21ewq,DARK,53.1300842832,-27.87636659914,WFC3/UVIS,F275W,15718,"Martlin, Catherine A",WFC3 UVIS Post-flash Monitor,58930.21841099537,58930.21841670139,0.5,2,image,77.10340108150245,SN2012fq,CANDELSCDFS16,53.13707916666666,-27.855861111111114,Ia      ,arx  ,NO LC - REDSHIFT VERY LARGE -> RESTFRAME VERY BLUE. ANALYZE INDEPENDENTLY
ie1b21exq,DARK,53.1300842832,-27.87636659914,WFC3/UVIS,F275W,15718,"Martlin, Catherine A",WFC3 UVIS Post-flash Monitor,58930.21953394676,58930.21953966435,0.5,2,image,77.10340108150245,SN2012fq,CANDELSCDFS16,53.13707916666666,-27.855861111111114,Ia      ,arx  ,NO LC - REDSHIFT VERY LARGE -> RESTFRAME VERY BLUE. ANALYZE INDEPENDENTLY
hst_14779_78_wfc3_uvis_f275w_id7678,PTF13ASV,245.6799583333,18.95972222222,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",,57939.04625149,57939.06413313,858.0,3,image,0.7439082783257865,SN2013cv,iPTF13asv,245.67982916666665,18.959888888888887,Ia-91T  ,P99  ,COMBINED 4 POINTINGS; one rotated
hst_skycell-p1737x16y15_wfc3_uvis_f275w_all,PTF13ASV,245.6799583333,18.95972222222,WFC3/UVIS,F275W,,,,57939.04625149,57939.06413313,858.0,3,image,0.7439082783257865,SN2013cv,iPTF13asv,245.67982916666665,18.959888888888887,Ia-91T  ,P99  ,COMBINED 4 POINTINGS; one rotated
id7678010,PTF13ASV,245.6799583333,18.95972222222,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",A NUV Imaging Survey for Circumstellar Material in Type Ia Supernovae,57939.04625150463,57939.06413313658,858.0,3,image,0.7439082783257865,SN2013cv,iPTF13asv,245.67982916666665,18.959888888888887,Ia-91T  ,P99  ,COMBINED 4 POINTINGS; one rotated
hst_14593_02_wfc3_uvis_f275w_id7802,NGC-4038,180.475,-18.87777777778,WFC3/UVIS,F275W,14593,"Bastian, Nate",,57931.61533704,57931.64864721,2610.0,3,image,28.291965530603626,SN2013dk,Antennae2,180.4696708333333,-18.871750000000002,Ic      ,arx  ,THIS NEEDS TO BE COMBINED -- TO DO --
hst_skycell-p0923x09y07_wfc3_uvis_f275w_all,NGC-4038,180.475,-18.87777777778,WFC3/UVIS,F275W,,,,57931.61533704,57931.64864721,2610.0,3,image,28.291965530603626,SN2013dk,Antennae2,180.4696708333333,-18.871750000000002,Ic      ,arx  ,THIS NEEDS TO BE COMBINED -- TO DO --
id7802010,NGC-4038,180.475,-18.87777777778,WFC3/UVIS,F275W,14593,"Bastian, Nate",Constraining the Origin of Multiple Populations in Globular Clusters,57931.61533703704,57931.648647222224,2610.0,3,image,28.291965530603626,SN2013dk,Antennae2,180.4696708333333,-18.871750000000002,Ic      ,arx  ,THIS NEEDS TO BE COMBINED -- TO DO --
hst_skycell-p1635x08y13_wfc3_uvis_f275w_all,NGC-4254-W,184.6955345833,14.41058055556,WFC3/UVIS,F275W,,,,58929.67135098,58931.66657077,4440.0,3,image,26.00111207629769,SN2014L,NGC4254,184.70282916666667,14.412080555555557,Ic      ,arx  ,PHANGS
hst_skycell-p1635x09y13_wfc3_uvis_f275w_all,NGC-4254-W,184.6955345833,14.41058055556,WFC3/UVIS,F275W,,,,58929.67135098,58931.66657077,4440.0,3,image,26.00111207629769,SN2014L,NGC4254,184.70282916666667,14.412080555555557,Ic      ,arx  ,PHANGS
hst_15654_24_wfc3_uvis_f275w_idxr24,NGC-4254-W,184.6955345833,14.41058055556,WFC3/UVIS,F275W,15654,"Lee, Janice",,58931.52670987,58931.66657077,2190.0,3,image,26.00111207629769,SN2014L,NGC4254,184.70282916666667,14.412080555555557,Ic      ,arx  ,PHANGS
idxr24060,NGC-4254-W,184.6955345833,14.41058055556,WFC3/UVIS,F275W,15654,"Lee, Janice",PHANGS-HST: Linking Stars and Gas throughout the Scales of Star Formation,58931.52670987268,58931.66657079861,2190.0,3,image,26.00111207629769,SN2014L,NGC4254,184.70282916666667,14.412080555555557,Ic      ,arx  ,PHANGS
hst_16287_10_wfc3_uvis_f275w_iebj10,ASASSN-14AT-HOST,268.7726291667,18.25733055556,WFC3/UVIS,F275W,16287,"Lyman, Joseph",,59363.79029692,59363.81374597,1650.0,3,image,1.1538452907998589e-07,SN2014ay,ASASSN-14at,268.7726291666666,18.257330555555555,II      ,P96  ,
hst_skycell-p1742x07y12_wfc3_uvis_f275w_all,ASASSN-14AT-HOST,268.7726291667,18.25733055556,WFC3/UVIS,F275W,,,,59363.79029692,59363.81374597,1650.0,3,image,1.1538452907998589e-07,SN2014ay,ASASSN-14at,268.7726291666666,18.257330555555555,II      ,P96  ,
hst_skycell-p1742x08y12_wfc3_uvis_f275w_all,ASASSN-14AT-HOST,268.7726291667,18.25733055556,WFC3/UVIS,F275W,,,,59363.79029692,59363.81374597,1650.0,3,image,1.1538452907998589e-07,SN2014ay,ASASSN-14at,268.7726291666666,18.257330555555555,II      ,P96  ,
iebj10010,ASASSN-14AT-HOST,268.7708060325,18.254536283,WFC3/UVIS,F275W,16287,"Lyman, Joseph",A public UV snapshot survey of core-collapse supernova hosts in IF,59363.79029690972,59363.813745983796,1650.0,3,image,11.833874345750594,SN2014ay,ASASSN-14at,268.7726291666666,18.257330555555555,II      ,P96  ,
hst_15166_57_wfc3_uvis_f275w_idi157,PSNJ0423-5136,65.946625,-51.60080555556,WFC3/UVIS,F275W,15166,"Filippenko, Alex V.",,58623.15943052,58623.17659476,780.0,3,image,0.022063698607245993,SN2014cd,SN2014cd,65.94662916666667,-51.60081111111111,Ia      ,P95  ,
hst_skycell-p0306x11y04_wfc3_uvis_f275w_all,PSNJ0423-5136,65.946625,-51.60080555556,WFC3/UVIS,F275W,,,,58623.15943052,58623.17659476,780.0,3,image,0.022063698607245993,SN2014cd,SN2014cd,65.94662916666667,-51.60081111111111,Ia      ,P95  ,
idi157010,PSNJ0423-5136,65.946625,-51.60080555556,WFC3/UVIS,F275W,15166,"Filippenko, Alex V.","Continuing a Snapshot Survey of the Sites of Recent, Nearby Supernovae: Cycles 25 & 26",58623.159430520835,58623.176594756944,780.0,3,image,0.022063698607245993,SN2014cd,SN2014cd,65.94662916666667,-51.60081111111111,Ia      ,P95  ,
hst_16287_dj_wfc3_uvis_f275w_iebjdj,SN2014CE-HOST,351.9216216667,23.59005555556,WFC3/UVIS,F275W,16287,"Lyman, Joseph",,59131.39907681,59131.42252586,1650.0,3,image,5.316290452917997,SN2014ce,SN2014ce,351.92024999999995,23.589280555555554,II      ,P103 ,
hst_skycell-p1846x09y18_wfc3_uvis_f275w_all,SN2014CE-HOST,351.9216216667,23.59005555556,WFC3/UVIS,F275W,,,,59131.39907681,59131.42252586,1650.0,3,image,5.316290452917997,SN2014ce,SN2014ce,351.92024999999995,23.589280555555554,II      ,P103 ,
