matched_snname,cubename,rasn,decsn,redshift,sample_ra_deg,sample_dec_deg,matched_in_list_snlist,sep_arcsec,snlist_snname,snlist_cubename,snlist_sem,snlist_sntype,snlist_notes,name_present_in_list,reason
SN2022epu,SN2022epu,228.691862,31.223633,0.031,228.691862,31.223633,False,6204.125600137146,,,,,,False,object not present in list_snlist by name
SN2022esa,SN2022esa,253.49,-9.70285,0.023,253.49,-9.70285,False,39267.595309194505,,,,,,False,object not present in list_snlist by name
SN2016hnk,SN2016hnk,33.319312,-7.661332,0.016,33.319312,-7.661332,False,5522.169860608482,,,,,,False,object not present in list_snlist by name
SN2010jn,SN2010jn,09:37:29.950,+23:09:38.80,0.025047,144.37479166666665,23.160777777777778,False,147.684216161156,,,,,,False,object not present in list_snlist by name
PTF10ops,PTF10ops,21:47:33.57,+05:51:30.3,0.06,326.889875,5.858416666666666,False,8832.38894348824,,,,,,False,object not present in list_snlist by name
ASAS14lo,ASASSN-14LO,177.971292,18.541389,0.019917,177.971292,18.541389,False,7486.97151897547,,,,,,False,object not present in list_snlist by name
CSP14ade,OGLE-2014-SN-141,84.327667,-75.721389,0.062457,84.327667,-75.721389,False,5779.486212292709,,,,,,False,object not present in list_snlist by name
LSQ15aae,LSQ15AAE,247.565417,5.932981,0.051564,247.565417,5.932981,False,12728.643797898707,,,,,,False,object not present in list_snlist by name
PS15sv,PS15SV,243.298917,1.591972,0.033277,243.298917,1.591972,False,8424.006292377691,,,,,,False,object not present in list_snlist by name
PTF13duj,SN2013FW,318.436583,13.575861,0.01694,318.436583,13.575861,False,2367.5649333963383,,,,,,False,object not present in list_snlist by name
PTF13ebh,PTF13EBH,35.499917,33.270472,0.01326,35.499917,33.270472,False,8151.547881715975,,,,,,False,object not present in list_snlist by name
SN2013gv,SN2013GV,47.488792,19.213667,0.034097,47.488792,19.213667,False,13580.785799588739,,,,,,False,object not present in list_snlist by name
SN2013hh,SN2013HH,172.268208,17.235972,0.01298,172.268208,17.235972,False,11751.734996788073,,,,,,False,object not present in list_snlist by name
SN2014dl,SN2014DL,247.442042,8.641833,0.032943,247.442042,8.641833,False,18522.688763726692,,,,,,False,object not present in list_snlist by name
SNhunt281,SN2015BP,226.375292,1.634000,0.004067,226.375292,1.634,False,2665.7074297570157,,,,,,False,object not present in list_snlist by name
SN1981D,SN1981D,50.66490,-37.23540,0.00587,50.6649,-37.2354,False,16.92217161483783,,,,,,True,name present but coordinates differ by >5 arcsec
