Supernova,ra_deg,dec_deg,survey,local_fits,fits_path,live_checked,live_available,live_message
ASASSN-14hu,100.86216666666665,-69.63741666666667,LegacySurvey,True,outputs/images/ASASSN-14hu/LegacySurvey/LegacySurvey_r.fits,False,,
ASASSN-14hu,100.86216666666665,-69.63741666666667,DES,False,,True,False,empty
ASASSN-14hu,100.86216666666665,-69.63741666666667,PanSTARRS,False,,True,False,empty
ASASSN-14hu,100.86216666666665,-69.63741666666667,SkyMapper,True,outputs/images/ASASSN-14hu/SkyMapper/SkyMapper_r.fits,False,,
ASASSN-14ig,19.020624999999995,-61.62130555555556,LegacySurvey,True,outputs/images/ASASSN-14ig/LegacySurvey/LegacySurvey_r.fits,False,,
ASASSN-14ig,19.020624999999995,-61.62130555555556,DES,True,outputs/images/ASASSN-14ig/DES/DES_r.fits,False,,
ASASSN-14ig,19.020624999999995,-61.62130555555556,PanSTARRS,False,,True,False,empty
ASASSN-14ig,19.020624999999995,-61.62130555555556,SkyMapper,True,outputs/images/ASASSN-14ig/SkyMapper/SkyMapper_r.fits,False,,
ASASSN-14jc,113.89704166666665,-62.770177777777775,LegacySurvey,True,outputs/images/ASASSN-14jc/LegacySurvey/LegacySurvey_r.fits,False,,
ASASSN-14jc,113.89704166666665,-62.770177777777775,DES,False,,True,False,empty
ASASSN-14jc,113.89704166666665,-62.770177777777775,PanSTARRS,False,,True,False,empty
ASASSN-14jc,113.89704166666665,-62.770177777777775,SkyMapper,True,outputs/images/ASASSN-14jc/SkyMapper/SkyMapper_r.fits,False,,
ASASSN-14jg,353.30791666666664,-60.569861111111116,LegacySurvey,True,outputs/images/ASASSN-14jg/LegacySurvey/LegacySurvey_r.fits,False,,
ASASSN-14jg,353.30791666666664,-60.569861111111116,DES,True,outputs/images/ASASSN-14jg/DES/DES_r.fits,False,,
ASASSN-14jg,353.30791666666664,-60.569861111111116,PanSTARRS,False,,True,False,empty
ASASSN-14jg,353.30791666666664,-60.569861111111116,SkyMapper,True,outputs/images/ASASSN-14jg/SkyMapper/SkyMapper_r.fits,False,,
ASASSN-14kq,356.314625,-29.78365,LegacySurvey,True,outputs/images/ASASSN-14kq/LegacySurvey/LegacySurvey_r.fits,False,,
ASASSN-14kq,356.314625,-29.78365,DES,False,,True,False,empty
ASASSN-14kq,356.314625,-29.78365,PanSTARRS,True,outputs/images/ASASSN-14kq/PanSTARRS/PanSTARRS_r.fits,False,,
ASASSN-14kq,356.314625,-29.78365,SkyMapper,True,outputs/images/ASASSN-14kq/SkyMapper/SkyMapper_r.fits,False,,
ASASSN-14lt,47.76058333333333,-13.110766666666667,LegacySurvey,True,outputs/images/ASASSN-14lt/LegacySurvey/LegacySurvey_r.fits,False,,
ASASSN-14lt,47.76058333333333,-13.110766666666667,DES,True,outputs/images/ASASSN-14lt/DES/DES_r.fits,False,,
ASASSN-14lt,47.76058333333333,-13.110766666666667,PanSTARRS,False,,True,True,ok
ASASSN-14lt,47.76058333333333,-13.110766666666667,SkyMapper,True,outputs/images/ASASSN-14lt/SkyMapper/SkyMapper_r.fits,False,,
ASASSN-14lv,353.03070833333334,-41.269933333333334,LegacySurvey,True,outputs/images/ASASSN-14lv/LegacySurvey/LegacySurvey_r.fits,False,,
ASASSN-14lv,353.03070833333334,-41.269933333333334,DES,True,outputs/images/ASASSN-14lv/DES/DES_r.fits,False,,
ASASSN-14lv,353.03070833333334,-41.269933333333334,PanSTARRS,False,,True,False,empty
ASASSN-14lv,353.03070833333334,-41.269933333333334,SkyMapper,True,outputs/images/ASASSN-14lv/SkyMapper/SkyMapper_r.fits,False,,
ASASSN-14me,21.666999999999998,-57.997030555555554,LegacySurvey,True,outputs/images/ASASSN-14me/LegacySurvey/LegacySurvey_r.fits,False,,
ASASSN-14me,21.666999999999998,-57.997030555555554,DES,False,,True,False,empty
ASASSN-14me,21.666999999999998,-57.997030555555554,PanSTARRS,False,,True,False,empty
ASASSN-14me,21.666999999999998,-57.997030555555554,SkyMapper,True,outputs/images/ASASSN-14me/SkyMapper/SkyMapper_r.fits,False,,
ASASSN-14mf,1.2269166666666667,-32.437397222222216,LegacySurvey,True,outputs/images/ASASSN-14mf/LegacySurvey/LegacySurvey_r.fits,False,,
ASASSN-14mf,1.2269166666666667,-32.437397222222216,DES,False,,True,False,empty
ASASSN-14mf,1.2269166666666667,-32.437397222222216,PanSTARRS,False,,True,False,empty
ASASSN-14mf,1.2269166666666667,-32.437397222222216,SkyMapper,True,outputs/images/ASASSN-14mf/SkyMapper/SkyMapper_r.fits,False,,
ASASSN-14mg,43.492083333333326,-21.648016666666667,LegacySurvey,True,outputs/images/ASASSN-14mg/LegacySurvey/LegacySurvey_r.fits,False,,
ASASSN-14mg,43.492083333333326,-21.648016666666667,DES,True,outputs/images/ASASSN-14mg/DES/DES_r.fits,False,,
ASASSN-14mg,43.492083333333326,-21.648016666666667,PanSTARRS,True,outputs/images/ASASSN-14mg/PanSTARRS/PanSTARRS_r.fits,False,,
ASASSN-14mg,43.492083333333326,-21.648016666666667,SkyMapper,True,outputs/images/ASASSN-14mg/SkyMapper/SkyMapper_r.fits,False,,
ASASSN-14mw,25.354833333333332,-65.61701666666666,LegacySurvey,True,outputs/images/ASASSN-14mw/LegacySurvey/LegacySurvey_r.fits,False,,
ASASSN-14mw,25.354833333333332,-65.61701666666666,DES,False,,True,False,empty
ASASSN-14mw,25.354833333333332,-65.61701666666666,PanSTARRS,False,,True,False,empty
ASASSN-14mw,25.354833333333332,-65.61701666666666,SkyMapper,True,outputs/images/ASASSN-14mw/SkyMapper/SkyMapper_r.fits,False,,
ASASSN-15aj,163.22191666666666,-32.92635,LegacySurvey,True,outputs/images/ASASSN-15aj/LegacySurvey/LegacySurvey_r.fits,False,,
ASASSN-15aj,163.22191666666666,-32.92635,DES,False,,True,False,empty
ASASSN-15aj,163.22191666666666,-32.92635,PanSTARRS,False,,True,False,empty
ASASSN-15aj,163.22191666666666,-32.92635,SkyMapper,True,outputs/images/ASASSN-15aj/SkyMapper/SkyMapper_r.fits,False,,
