SN name,UV mag,UV abs mag,F275W-r,Adopted r survey,Adopted r mag,Adopted r abs mag,Adopted r flux,Adopted r flux err,F275W-r Best,Adopted Best survey,Adopted Best,Adopted Best abs mag,Adopted Best flux,Adopted Best flux err,LegacySurvey r mag,LegacySurvey r abs mag,LegacySurvey r flux,LegacySurvey r flux err,LegacySurvey invvar+bkg r mag,LegacySurvey invvar+bkg r abs mag,LegacySurvey invvar+bkg r flux,LegacySurvey invvar+bkg r flux err,DES r mag,DES r abs mag,DES r flux,DES r flux err,PanSTARRS r mag,PanSTARRS r abs mag,PanSTARRS r flux,PanSTARRS r flux err,SkyMapper r mag,SkyMapper r abs mag,SkyMapper r flux,SkyMapper r flux err,Paper plot candidate
SN2011iv,17.287 (0.004),-14.969 (0.004),5.014,LegacySurvey,12.273 (0.070),-19.983 (0.070),12326.874162184846,795.9449511031451,5.014,LegacySurvey,12.273 (0.070),-19.983 (0.070),12326.874162184846,795.9449511031451,12.249 (0.015),-20.007 (0.015),12599.62271031266,171.87666735870474,12.273 (0.070),-19.983 (0.070),12326.874162184846,795.9449511031451,12.273 (0.005),-19.982 (0.005),12319947.654909756,57970.021878751315,,,,,12.352 (0.010),-19.904 (0.010),2013964.5030086888,18093.272848759912,False
SN2007on,(22.338),(-9.918),$<5.480$,DES,16.858 (0.007),-15.398 (0.007),180673.09654801805,1152.99046349849,$<5.480$,DES,16.858 (0.007),-15.398 (0.007),180673.09654801805,1152.99046349849,16.457 (0.235),-15.799 (0.235),261.4362484052162,55.36334634239245,16.481 (0.398),-15.775 (0.398),255.7129516515271,93.74616639362446,16.858 (0.007),-15.398 (0.007),180673.09654801805,1152.99046349849,,,,,18.593 (0.108),-13.663 (0.108),12390.19462884957,1198.7163113208633,False
SN2007so,(23.469),(-12.099),$<4.759$,PanSTARRS,18.710 (0.018),-16.858 (0.018),328.1971163375517,4.24424254656409,$<4.759$,PanSTARRS,18.710 (0.018),-16.858 (0.018),328.1971163375517,4.24424254656409,18.642 (0.549),-16.926 (0.549),34.91679108546968,13.643687425708215,18.923 (0.886),-16.645 (0.886),26.96745954096984,22.00589617466277,,,,,18.710 (0.018),-16.858 (0.018),328.1971163375517,4.24424254656409,18.855 (0.203),-16.714 (0.203),396.53659629888006,56.26910180307189,False
SN2007st,20.556 (0.020),-14.281 (0.020),4.460,LegacySurvey,16.096 (0.140),-18.742 (0.140),364.4427010351315,46.98496389627703,4.460,LegacySurvey,16.096 (0.140),-18.742 (0.140),364.4427010351315,46.98496389627703,16.062 (0.093),-18.776 (0.093),376.1716780020082,31.338314937488505,16.096 (0.140),-18.742 (0.140),364.4427010351315,46.98496389627703,16.074 (0.006),-18.763 (0.006),371802.86753813486,1879.7158862776787,,,,,16.266 (0.012),-18.572 (0.012),99562.82692223492,1040.079218839201,True
SNF20080612-003,22.949 (0.137),-12.855 (0.137),3.345,LegacySurvey,19.604 (0.134),-16.200 (0.134),14.400999005175157,1.7801995170102145,3.496,PanSTARRS,19.454 (0.018),-16.350 (0.018),165.40767572284324,2.4355272298245327,19.500 (0.881),-16.304 (0.881),15.85205248672884,11.685420347451606,19.604 (0.134),-16.200 (0.134),14.400999005175157,1.7801995170102145,,,,,19.454 (0.018),-16.350 (0.018),165.40767572284324,2.4355272298245327,,,,,False
SN2008J,19.750 (0.014),-14.485 (0.014),3.589,LegacySurvey,16.162 (0.137),-18.073 (0.137),343.0697407290959,43.239920284266994,3.587,PanSTARRS,16.163 (0.014),-18.072 (0.014),3426.08553358749,43.00331162807908,16.114 (0.106),-18.121 (0.106),358.33176001462743,33.41012450117529,16.162 (0.137),-18.073 (0.137),343.0697407290959,43.239920284266994,16.120 (0.005),-18.114 (0.005),356292.2289324951,1677.25183118476,16.163 (0.014),-18.072 (0.014),3426.08553358749,43.00331162807908,16.283 (0.010),-17.952 (0.010),105434.9889656718,961.8537594007474,True
SN2008O,(23.991),(-12.205),$<5.279$,SkyMapper,18.713 (0.021),-17.484 (0.021),11291.687783210731,178.68021877494508,$<5.279$,SkyMapper,18.713 (0.021),-17.484 (0.021),11291.687783210731,178.68021877494508,,,,,,,,,,,,,,,,,18.713 (0.021),-17.484 (0.021),11291.687783210731,178.68021877494508,False
SN2008R,22.367 (0.212),-11.473 (0.212),5.751,DES,16.616 (0.008),-17.224 (0.008),225768.7106995031,1409.3434265999856,5.751,DES,16.616 (0.008),-17.224 (0.008),225768.7106995031,1409.3434265999856,16.535 (0.165),-17.305 (0.165),243.2115670467987,32.16461505940797,16.685 (0.594),-17.155 (0.594),211.7481664067787,115.9319026929075,16.616 (0.008),-17.224 (0.008),225768.7106995031,1409.3434265999856,16.707 (0.016),-17.133 (0.016),2075.8132995398237,25.889158534458165,16.984 (0.016),-16.856 (0.016),51642.448976628475,638.7209689712014,False
SN2008ae,21.456 (0.036),-14.165 (0.036),1.876,PanSTARRS,19.580 (0.024),-16.040 (0.024),147.2743309796961,3.102385618302238,1.876,PanSTARRS,19.580 (0.024),-16.040 (0.024),147.2743309796961,3.102385618302238,19.482 (0.890),-16.138 (0.890),16.110696538867938,12.526908398070429,19.540 (0.776),-16.080 (0.776),15.280453580516536,10.924006181866616,,,,,19.580 (0.024),-16.040 (0.024),147.2743309796961,3.102385618302238,23.407 (12.190),-12.213 (12.190),5.579896119939613,59.20704169975104,True
SN2008ar,21.499 (0.043),-13.807 (0.043),2.684,PanSTARRS,18.815 (0.015),-16.490 (0.015),297.86590559190284,3.871304900518576,2.684,PanSTARRS,18.815 (0.015),-16.490 (0.015),297.86590559190284,3.871304900518576,18.660 (0.515),-16.645 (0.515),34.36058012075441,15.17459680679491,18.737 (0.365),-16.569 (0.365),32.01566606142155,10.754253476352003,,,,,18.815 (0.015),-16.490 (0.015),297.86590559190284,3.871304900518576,18.918 (0.398),-16.387 (0.398),333.9273984877788,113.48124542471902,False
