sn_name,sample_name,source_file,status,fit_message,max_status,max_fit_message,ebv2_status,ebv2_fit_message,z,sample_redshift,sample_rasn,sample_decsn,sample_sntype,sample_redshift_source,max_Tmax,max_e_Tmax,max_sBV,max_e_sBV,max_st,max_e_st,ebv2_Tmax,ebv2_e_Tmax,ebv2_sBV,ebv2_e_sBV,ebv2_st,ebv2_e_st,ebv2_EBVhost,ebv2_e_EBVhost,B_Tmax,B_e_Tmax,g_Tmax,g_e_Tmax,r_Tmax,r_e_Tmax,B_Mmax,B_e_Mmax,g_Mmax,g_e_Mmax,r_Mmax,r_e_Mmax,B_Mcorr,B_kcor,g_Mcorr,g_kcor,r_Mcorr,r_kcor,EBVgal,max_rchisq,ebv2_rchisq,bands_available,max_bands_used,max_fit_attempts,ebv2_bands_used,ebv2_fit_attempts,k_version,stype,max_plot_file,ebv2_plot_file,max_fit_file,ebv2_fit_file,B_source,g_source,r_source,failure_group
SN1998dh,SN1998dh,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN1998dh_raw.txt,failed,'filter ID I not found',import_failed,'filter ID I not found',import_failed,'filter ID I not found',,0.008884,23:14:40.310,+04:32:14.10,Ia,corez_zobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,import/filter-definition problem
SN1999ee,SN1999ee,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN1999ee_raw.txt,failed,'filter ID H-pers not found',import_failed,'filter ID H-pers not found',import_failed,'filter ID H-pers not found',,0.011292,22:16:10.001,-36:50:39.70,Ia,corez_zobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,import/filter-definition problem
SN2001da,SN2001da,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN2001da_raw.txt,failed,'filter ID B_4Shooter2 not found',import_failed,'filter ID B_4Shooter2 not found',import_failed,'filter ID B_4Shooter2 not found',,0.017234,23:53:32.779,+08:07:02.60,Ia,corez_zobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,import/filter-definition problem
SN2001el,SN2001el,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN2001el_raw.txt,failed,'filter ID H-pers not found',import_failed,'filter ID H-pers not found',import_failed,'filter ID H-pers not found',,0.003669,03:44:30.571,-44:38:23.71,Ia,corez_zobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,import/filter-definition problem
SN2002ha,SN2002ha,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN2002ha_raw.txt,failed,'filter ID B_4Shooter2 not found',import_failed,'filter ID B_4Shooter2 not found',import_failed,'filter ID B_4Shooter2 not found',,0.013774,20:47:18.581,+00:18:45.61,Ia,corez_zobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,import/filter-definition problem
SN2002jg,SN2002jg,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN2002jg_raw.txt,failed,'filter ID I not found',import_failed,'filter ID I not found',import_failed,'filter ID I not found',,0.015207,22:19:28.800,+29:23:04.49,Ia,corez_zobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,import/filter-definition problem
SN2003ic,SN2003ic,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN2003ic_raw.txt,failed,'filter ID B_4Shooter2 not found',import_failed,'filter ID B_4Shooter2 not found',import_failed,'filter ID B_4Shooter2 not found',,0.055541,00:41:50.230,-09:18:19.01,Ia,corez_zobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,import/filter-definition problem
SN2005cf,SN2005cf,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN2005cf_raw.txt,failed,'filter ID B_swift not found',import_failed,'filter ID B_swift not found',import_failed,'filter ID B_swift not found',,0.006687,15:21:32.210,-07:24:47.48,-,corez_zobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,import/filter-definition problem
SN2005dm,SN2005dm,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN2005dm_raw.txt,failed,'filter ID I not found',import_failed,'filter ID I not found',import_failed,'filter ID I not found',,0.016847,02:18:39.250,-06:54:10.80,Ia-91bg,corez_zobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,import/filter-definition problem
SN2005gj,SN2005gj,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN2005gj_raw.txt,failed,All weights for filter B are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data. | All weights for filter B are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data.,failed,All weights for filter B are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data.,failed,All weights for filter B are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data.,0.0616,0.061661,03:01:11.950,-00:33:13.90,Ia-CSM,corez_zobs,0.0,0.0,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,"B,g,i,H,K,J,r,u,V,Y,Ydw",,"B,g,i,H,K,J,r,u,V,Y,Ydw | B,g,i,r,u,V",,"B,g,i,H,K,J,r,u,V,Y,Ydw | B,g,i,r,u,V",H3,st,,,,,,,,too sparse / no useful data in required bands
SN2006E,SN2006E,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN2006E_raw.txt,failed,'filter ID B_swift not found',import_failed,'filter ID B_swift not found',import_failed,'filter ID B_swift not found',,0.002643,13:53:28.649,+05:12:22.79,Ia,corez_zobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,import/filter-definition problem
SN2006cm,SN2006cm,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN2006cm_raw.txt,failed,'filter ID B_Keplercam not found',import_failed,'filter ID B_Keplercam not found',import_failed,'filter ID B_Keplercam not found',,0.01637,21:20:17.460,-01:41:02.69,Ia,corez_zobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,import/filter-definition problem
