sample_sn,has_snoopy_txt,matched_txt_files,n_matched_files
SN2007jg,True,SN2007jg_raw.txt,1
SN2007jh,True,SN2007jh_raw.txt,1
SN2007le,True,SN2007le_raw.txt,1
SN2007mm,True,SN2007mm_raw.txt,1
SN2007nq,True,SN2007nq_raw.txt,1
SN2007ol,True,SN2007ol_raw.txt,1
SN2007on,True,SN2007on_raw.txt,1
SN2007so,True,SN2007so_raw.txt,1
SN2007st,True,SN2007st_raw.txt,1
SN2008J,True,SN2008J_raw.txt,1
SN2008O,True,SN2008O_raw.txt,1
SN2008R,True,SN2008R_raw.txt,1
SN2008ae,True,SN2008ae_raw.txt,1
SN2008ar,True,SN2008ar_raw.txt,1
SN2008bc,True,SN2008bc_raw.txt,1
SN2008bd,True,SN2008bd_raw.txt,1
SN2008bq,True,SN2008bq_raw.txt,1
SN2008bt,True,SN2008bt_raw.txt,1
SN2008cc,True,SN2008cc_raw.txt,1
SN2008cf,True,SN2008cf_raw.txt,1
SN2008cm,True,SN2008cm_raw.txt,1
SN2008ff,True,SN2008ff_raw.txt,1
SN2008fl,True,SN2008fl_raw.txt,1
SN2008fp,True,SN2008fp_raw.txt,1
SN2008fr,True,SN2008fr_raw.txt,1
SN2008fu,True,SN2008fu_raw.txt,1
SN2008ge,True,SN2008ge_raw.txt,1
SN2008gg,True,SN2008gg_raw.txt,1
SN2008ha,True,SN2008ha_raw.txt,1
SN2008hj,True,SN2008hj_raw.txt,1
SN2008hu,True,SN2008hu_raw.txt,1
SN2008hv,True,SN2008hv_raw.txt,1
SN2008ia,True,SN2008ia_raw.txt,1
SN2009D,True,SN2009D_raw.txt,1
SN2009F,True,SN2009F_raw.txt,1
SN2009I,True,SN2009I_raw.txt,1
SN2009J,True,SN2009J_raw.txt,1
SN2009Y,True,SN2009Y_raw.txt,1
SN2009aa,True,SN2009aa_raw.txt,1
SN2009ab,True,SN2009ab_raw.txt,1
SN2009ag,True,SN2009ag_raw.txt,1
SN2009al,True,SN2009al_raw.txt,1
SN2009ig,True,SN2009ig_raw.txt,1
SN2009jr,True,SN2009jr_raw.txt,1
SN2009le,True,SN2009le_raw.txt,1
SN2009nr,True,SN2009nr_raw.txt,1
SN2010ae,True,SN2010ae_raw.txt,1
SN2010dl,True,SN2010dl_raw.txt,1
SN2010ev,True,SN2010ev_raw.txt,1
SN2010ko,True,SN2010ko_raw.txt,1
SN2011Z,True,SN2011Z_raw.txt,1
SN2011gf,True,SN2011gf_raw.txt,1
SN2011ha,True,SN2011ha_raw.txt,1
SN2011hb,True,SN2011hb_raw.txt,1
SN2011hk,True,SN2011hk_raw.txt,1
SN2011io,True,SN2011io_raw.txt,1
SN2011iv,True,SN2011iv_raw.txt,1
SN2011iy,True,SN2011iy_raw.txt,1
SN2011jh,True,SN2011jh_raw.txt,1
SN2011jt,True,SN2011jt_raw.txt,1
SN2012E,True,SN2012E_raw.txt,1
SN2012G,True,SN2012G_raw.txt,1
SN2012U,True,SN2012U_raw.txt,1
SN2012Z,True,SN2012Z_raw.txt,1
SN2012aq,True,SN2012aq_raw.txt,1
SN2012bl,True,SN2012bl_raw.txt,1
SN2012fk,True,SN2012fk_raw.txt,1
SN2012fr,True,SN2012fr_raw.txt,1
SN2012gm,True,SN2012gm_raw.txt,1
SN2012hr,True,SN2012hr_raw.txt,1
SN2013M,True,SN2013M_raw.txt,1
SN2013aa,True,SN2013aa_raw.txt,1
SN2013ad,True,SN2013ad_raw.txt,1
SN2013aj,True,SN2013aj_raw.txt,1
SN2013az,True,SN2013az_raw.txt,1
SN2013bz,True,SN2013bz_raw.txt,1
SN2013cs,True,SN2013cs_raw.txt,1
SN2013ct,True,SN2013ct_raw.txt,1
SN2013ex,True,SN2013ex_raw.txt,1
SN2013fy,True,SN2013fy_raw.txt,1
