file,base_name,ra_deg,dec_deg,nearest_missing_sample,nearest_missing_ra,nearest_missing_dec,sep_arcsec,within_2arcsec,within_5arcsec,within_10arcsec
ZTF18abtlrqh_LC.csv,ZTF18abtlrqh,16.4088,29.49746,SN2022vqz,12.774091666666665,29.536711111111114,11387.051592715283,False,False,False
ZTF18abtmbaz_LC.csv,ZTF18abtmbaz,31.41901,19.09218,SN2021afkk,37.4998676863,28.6341857571,39739.920304783365,False,False,False
ZTF18abtmtfy_LC.csv,ZTF18abtmtfy,34.6823,10.01376,SN2000dx,34.611999999999995,5.650561111111111,15709.515806465117,False,False,False
ZTF18abtmxnw_LC.csv,ZTF18abtmxnw,65.90771,78.48884,SN2004fd,40.813541666666666,32.42378055555555,170341.20374806403,False,False,False
ZTF18abtnbys_LC.csv,ZTF18abtnbys,103.08582,46.98915,PSNJ07250042+2347030,111.25175,23.784166666666668,86791.30793772328,False,False,False
ZTF18abtnlik_LC.csv,ZTF18abtnlik,279.32159,49.14839,SN2004cs,267.5599208333333,14.28318888888889,130239.69033151973,False,False,False
ZTF18abtogdl_LC.csv,ZTF18abtogdl,267.79704,53.31446,SN2022epu,228.691862,31.223633,128498.30921204033,False,False,False
ZTF18abtqevs_LC.csv,ZTF18abtqevs,1.15132,51.99377,SN1995Y,17.748329166666664,33.14463888888889,80451.98093446971,False,False,False
ZTF18abtqrwa_LC.csv,ZTF18abtqrwa,21.94523,-17.70568,LSQ14gde,15.177041666666666,-14.992583333333332,25334.83585940869,False,False,False
ZTF18abtrvkm_LC.csv,ZTF18abtrvkm,41.49722,42.54152,SN2004fd,40.813541666666666,32.42378055555555,36475.8112878801,False,False,False
ZTF18abtsuqv_LC.csv,ZTF18abtsuqv,54.89643,-6.32508,SN1991bj,55.376999999999995,-4.663780555555556,6223.659325110962,False,False,False
ZTF18abtvgxv_LC.csv,ZTF18abtvgxv,312.79162,-24.89411,SN2017hgz,327.0838333333333,-34.95288888888889,57332.63996344255,False,False,False
ZTF18abtvhef_LC.csv,ZTF18abtvhef,307.72321,-26.51792,SN2017hgz,327.0838333333333,-34.95288888888889,66997.73435070176,False,False,False
ZTF18abtxvhy_LC.csv,ZTF18abtxvhy,344.80329,0.40502,SN2000ey,349.85499999999996,5.905861111111111,26863.316344207597,False,False,False
ZTF18abtyrqh_LC.csv,ZTF18abtyrqh,353.20453,31.56868,SN2022vqz,12.774091666666665,29.536711111111114,61025.876768609065,False,False,False
