obsID,obs_collection,dataproduct_type,obs_id,description,type,dataURI,productType,productGroupDescription,productSubGroupDescription,productDocumentationURL,project,prvversion,proposal_id,productFilename,size,parent_obsid,dataRights,calib_level,filters
26659073,HST,image,hst_14779_30_wfc3_uvis_f275w_id7630t5,HAP fits science image,D,mast:HST/product/hst_14779_30_wfc3_uvis_f275w_id7630t5_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_30_wfc3_uvis_f275w_id7630t5_drc.fits,321903360,25872496,PUBLIC,2,F275W
26659108,HST,image,hst_14779_30_wfc3_uvis_f275w_id7630t6,HAP fits science image,D,mast:HST/product/hst_14779_30_wfc3_uvis_f275w_id7630t6_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_30_wfc3_uvis_f275w_id7630t6_drc.fits,321903360,25872496,PUBLIC,2,F275W
26659156,HST,image,hst_14779_30_wfc3_uvis_total_id7630,HAP fits science image,D,mast:HST/product/hst_14779_30_wfc3_uvis_total_id7630_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_30_wfc3_uvis_total_id7630_drc.fits,321909120,25872496,PUBLIC,3,detection
26651674,HST,image,hst_14779_34_wfc3_uvis_f275w_id7634,HAP fits science image,D,mast:HST/product/hst_14779_34_wfc3_uvis_f275w_id7634_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_34_wfc3_uvis_f275w_id7634_drc.fits,353047680,25863345,PUBLIC,3,F275W
26651666,HST,image,hst_14779_34_wfc3_uvis_f275w_id7634lb,HAP fits science image,D,mast:HST/product/hst_14779_34_wfc3_uvis_f275w_id7634lb_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_34_wfc3_uvis_f275w_id7634lb_drc.fits,353041920,25863345,PUBLIC,2,F275W
26651656,HST,image,hst_14779_34_wfc3_uvis_f275w_id7634ld,HAP fits science image,D,mast:HST/product/hst_14779_34_wfc3_uvis_f275w_id7634ld_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_34_wfc3_uvis_f275w_id7634ld_drc.fits,353041920,25863345,PUBLIC,2,F275W
26651678,HST,image,hst_14779_34_wfc3_uvis_total_id7634,HAP fits science image,D,mast:HST/product/hst_14779_34_wfc3_uvis_total_id7634_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_34_wfc3_uvis_total_id7634_drc.fits,353047680,25863345,PUBLIC,3,detection
26659126,HST,image,hst_14779_36_wfc3_uvis_f275w_id7636,HAP fits science image,D,mast:HST/product/hst_14779_36_wfc3_uvis_f275w_id7636_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_36_wfc3_uvis_f275w_id7636_drc.fits,220440960,25864921,PUBLIC,3,F275W
26659106,HST,image,hst_14779_36_wfc3_uvis_f275w_id7636mw,HAP fits science image,D,mast:HST/product/hst_14779_36_wfc3_uvis_f275w_id7636mw_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_36_wfc3_uvis_f275w_id7636mw_drc.fits,220435200,25864921,PUBLIC,2,F275W
26659075,HST,image,hst_14779_36_wfc3_uvis_f275w_id7636mx,HAP fits science image,D,mast:HST/product/hst_14779_36_wfc3_uvis_f275w_id7636mx_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_36_wfc3_uvis_f275w_id7636mx_drc.fits,220435200,25864921,PUBLIC,2,F275W
