sn_name,sn_ra_deg,sn_dec_deg,sep_arcsec,obs_id,target_name,instrument_name,filters,proposal_id,proposal_pi,obs_title,t_min,t_max,t_exptime,calib_level
PTF14gnl,5.951375,-3.85775,0.0,id7652010,PTF14GNL,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",A NUV Imaging Survey for Circumstellar Material in Type Ia Supernovae,58006.61706362268,58006.628544872685,858.0,3
SN2006X,185.724958,15.809194,45.95147789338886,hst_15654_27_wfc3_uvis_f275w_idxr27,NGC-4321,WFC3/UVIS,F275W,15654,"Lee, Janice",,58923.51760013,58923.65661622,2190.0,3
SN2006X,185.724958,15.809194,45.95147789338886,idxr27060,NGC-4321,WFC3/UVIS,F275W,15654,"Lee, Janice",PHANGS-HST: Linking Stars and Gas throughout the Scales of Star Formation,58923.51760011574,58923.656616203705,2190.0,3
SN2006X,185.724958,15.809194,53.631011335225374,hst_skycell-p1635x04y19_wfc3_uvis_f275w_all,ZTF20AAELULU,WFC3/UVIS,F275W,,,,58877.8355159,59658.69908568,5580.0,3
SN2006X,185.724958,15.809194,53.631011335225374,hst_skycell-p1636x21y19_wfc3_uvis_f275w_all,ZTF20AAELULU,WFC3/UVIS,F275W,,,,58923.51760013,59658.69908568,3390.0,3
SN2006X,185.724958,15.809194,53.631011335225374,hst_skycell-p1722x05y02_wfc3_uvis_f275w_all,ZTF20AAELULU,WFC3/UVIS,F275W,,,,58877.8355159,59658.69908568,5580.0,3
SN2006X,185.724958,15.809194,53.631011335225374,hst_16657_1j_wfc3_uvis_f275w_iep31j,ZTF20AAELULU,WFC3/UVIS,F275W,16657,"Fremling, Christoffer",,59658.68362255,59658.69908568,1200.0,3
SN2006X,185.724958,15.809194,53.631011335225374,iep31j010,ZTF20AAELULU,WFC3/UVIS,F275W,16657,"Fremling, Christoffer",Late-time NUV Snapshots of the Lost Envelopes of Stripped Supernovae,59658.68362253472,59658.69908568287,1202.0,3
SN2006X,185.724958,15.809194,76.2879803470339,hst_15654_44_wfc3_uvis_f275w_idxr44,NGC-4321-E,WFC3/UVIS,F275W,15654,"Lee, Janice",,58877.8355159,58878.03104829,2190.0,3
SN2006X,185.724958,15.809194,76.2879803470339,idxr44060,NGC-4321-E,WFC3/UVIS,F275W,15654,"Lee, Janice",PHANGS-HST: Linking Stars and Gas throughout the Scales of Star Formation,58877.8355158912,58878.03104829861,2190.0,3
SN2006mr,50.679333,-37.208139,18.596750546540928,hst_skycell-p0497x09y14_wfc3_uvis_f275w_all,SN2006DD-HOST,WFC3/UVIS,F275W,,,,59815.97168288,59815.99502786,1600.0,3
SN2006mr,50.679333,-37.208139,23.167003444923786,iel30npgq,DARK,WFC3/UVIS,F275W,16569,"Pidgeon, Aidan J",WFC3 UVIS CCD Unflashed (CTE) Monitor,59816.00461142361,59816.0150278588,900.0,2
SN2007af,215.587625,-0.393778,40.74899649305542,hst_skycell-p1286x13y18_wfc3_uvis_f275w_all,SN2007AF-HOST,WFC3/UVIS,F275W,,,,59324.9286166,59324.94919528,1500.0,3
SN2007af,215.587625,-0.393778,40.74899649305542,hst_skycell-p1376x13y01_wfc3_uvis_f275w_all,SN2007AF-HOST,WFC3/UVIS,F275W,,,,59324.9286166,59324.94919528,1500.0,3
SN2007af,215.587625,-0.393778,40.74899649305542,hst_16287_28_wfc3_uvis_f275w_iebj28,SN2007AF-HOST,WFC3/UVIS,F275W,16287,"Lyman, Joseph",,59324.9286166,59324.94919528,1500.0,3
SN2007af,215.587625,-0.393778,40.74899649305542,iebj28010,SN2007AF-HOST,WFC3/UVIS,F275W,16287,"Lyman, Joseph",A public UV snapshot survey of core-collapse supernova hosts in IF,59324.92861658565,59324.94919528935,1500.0,3
SN2007nq,14.389875,-1.388611,0.015000940828158919,hst_skycell-p1236x18y13_wfc3_uvis_f275w_all,3C029-HOST,WFC3/UVIS,F275W,,,,60110.21117232,60110.23348692,1650.0,3
SN2007nq,14.389875,-1.388611,0.015000940828158919,hst_skycell-p1236x18y14_wfc3_uvis_f275w_all,3C029-HOST,WFC3/UVIS,F275W,,,,60110.21117232,60110.23348692,1650.0,3
SN2008ha,353.719542,18.2265,4.415557927090853,hst_skycell-p1762x02y12_wfc3_uvis_f275w_all,SN2008HA,WFC3/UVIS,F275W,,,,57674.72981762,57674.74698186,780.0,3
SN2008ha,353.719542,18.2265,4.415557927090853,hst_skycell-p1762x03y12_wfc3_uvis_f275w_all,SN2008HA,WFC3/UVIS,F275W,,,,57674.72981762,57674.74698186,780.0,3
SN2008ha,353.719542,18.2265,4.415557927090853,hst_skycell-p1763x19y12_wfc3_uvis_f275w_all,SN2008HA,WFC3/UVIS,F275W,,,,57674.72981762,57674.74698186,780.0,3
SN2008ha,353.719542,18.2265,4.415557927090853,hst_14668_42_wfc3_uvis_f275w_id9642,SN2008HA,WFC3/UVIS,F275W,14668,"Filippenko, Alex V.",,57674.72981762,57674.74698186,780.0,3
SN2008ha,353.719542,18.2265,4.415557927090853,id9642010,SN2008HA,WFC3/UVIS,F275W,14668,"Filippenko, Alex V.","Continuing a Snapshot Survey of the Sites of Recent, Nearby Supernovae: Cycle 24",57674.72981762732,57674.74698186343,780.0,3
SN2012bl,305.980333,-48.354806,0.0017876517932456947,hst_skycell-p0346x11y18_wfc3_uvis_f275w_all,SN2012BL,WFC3/UVIS,F275W,,,,56033.75273771,56038.16655713,724.0,3
