sn_name,sn_ra_deg,sn_dec_deg,sep_arcsec,obs_id,target_name,instrument_name,filters,proposal_id,proposal_pi,obs_title,t_min,t_max,t_exptime,calib_level,proposal_id_clean
LSQ15aae,247.565417,5.932981,0.0316225296315968,id7615010,LSQ15AAE,WFC3/UVIS,F275W,14779.0,"Graham, Melissa Lynn",A NUV Imaging Survey for Circumstellar Material in Type Ia Supernovae,57865.271515706016,57865.33343695602,858.0,3,14779
PS15sv,243.298917,1.591972,0.0014417348888364,hst_14779_25_wfc3_uvis_f275w_id7625,PS15SV,WFC3/UVIS,F275W,14779.0,"Graham, Melissa Lynn",,58024.93897325,58024.95045489,858.0,3,14779
PS15sv,243.298917,1.591972,0.0014417348888364,id7625010,PS15SV,WFC3/UVIS,F275W,14779.0,"Graham, Melissa Lynn",A NUV Imaging Survey for Circumstellar Material in Type Ia Supernovae,58024.93897326389,58024.95045489584,858.0,3,14779
PTF11qnr,341.106042,-0.167222,16.18328749024408,iebj36010,PTF11QNR-HOST,WFC3/UVIS,F275W,16287.0,"Lyman, Joseph",A public UV snapshot survey of core-collapse supernova hosts in IF,59459.977122372686,59460.00057144676,1650.0,3,16287
PTF11qnr,341.106042,-0.167222,25.646480265635343,hst_16287_36_wfc3_uvis_f275w_iebj36,PTF11QNR-HOST,WFC3/UVIS,F275W,16287.0,"Lyman, Joseph",,59459.97712238,59460.00057143,1650.0,3,16287
PTF13duj,318.436583,13.575861,0.2553224910405436,hst_15166_58_wfc3_uvis_f275w_idi158,SN2013FW,WFC3/UVIS,F275W,15166.0,"Filippenko, Alex V.",,58216.20393259,58216.2210972,780.0,3,15166
PTF13duj,318.436583,13.575861,0.2553224910405436,idi158010,SN2013FW,WFC3/UVIS,F275W,15166.0,"Filippenko, Alex V.","Continuing a Snapshot Survey of the Sites of Recent, Nearby Supernovae: Cycles 25 & 26",58216.20393260416,58216.2210971875,780.0,3,15166
PTF13ebh,35.499917,33.270472,0.0012831969735958,hst_14779_30_wfc3_uvis_f275w_id7630,PTF13EBH,WFC3/UVIS,F275W,14779.0,"Graham, Melissa Lynn",,58004.57238769,58004.58386897,858.0,3,14779
PTF13ebh,35.499917,33.270472,0.0012831969735958,id7630010,PTF13EBH,WFC3/UVIS,F275W,14779.0,"Graham, Melissa Lynn",A NUV Imaging Survey for Circumstellar Material in Type Ia Supernovae,58004.57238769676,58004.583868981485,858.0,3,14779
PTF14fpg,7.05,7.162083,0.0011999988005868,hst_14779_55_wfc3_uvis_f275w_id7655,PTF14FPG,WFC3/UVIS,F275W,14779.0,"Graham, Melissa Lynn",,58005.22603362,58005.23751489,858.0,3,14779
PTF14fpg,7.05,7.162083,0.0011999988005868,id7655010,PTF14FPG,WFC3/UVIS,F275W,14779.0,"Graham, Melissa Lynn",A NUV Imaging Survey for Circumstellar Material in Type Ia Supernovae,58005.226033645835,58005.23751489583,858.0,3,14779
PTF14gnl,5.951375,-3.85775,0.0,hst_14779_52_wfc3_uvis_f275w_id7652,PTF14GNL,WFC3/UVIS,F275W,14779.0,"Graham, Melissa Lynn",,58006.61706362,58006.62854489,858.0,3,14779
PTF14gnl,5.951375,-3.85775,0.0,id7652010,PTF14GNL,WFC3/UVIS,F275W,14779.0,"Graham, Melissa Lynn",A NUV Imaging Survey for Circumstellar Material in Type Ia Supernovae,58006.61706362268,58006.628544872685,858.0,3,14779
SN2006X,185.724958,15.809194,45.95147789338886,hst_15654_27_wfc3_uvis_f275w_idxr27,NGC-4321,WFC3/UVIS,F275W,15654.0,"Lee, Janice",,58923.51760013,58923.65661622,2190.0,3,15654
SN2006X,185.724958,15.809194,45.95147789338886,idxr27060,NGC-4321,WFC3/UVIS,F275W,15654.0,"Lee, Janice",PHANGS-HST: Linking Stars and Gas throughout the Scales of Star Formation,58923.51760011574,58923.656616203705,2190.0,3,15654
SN2006X,185.724958,15.809194,53.631011335225374,hst_16657_1j_wfc3_uvis_f275w_iep31j,ZTF20AAELULU,WFC3/UVIS,F275W,16657.0,"Fremling, Christoffer",,59658.68362255,59658.69908568,1200.0,3,16657
SN2006X,185.724958,15.809194,53.631011335225374,iep31j010,ZTF20AAELULU,WFC3/UVIS,F275W,16657.0,"Fremling, Christoffer",Late-time NUV Snapshots of the Lost Envelopes of Stripped Supernovae,59658.68362253472,59658.69908568287,1202.0,3,16657
SN2006mr,50.679333,-37.208139,23.167003444923782,iel30npgq,DARK,WFC3/UVIS,F275W,16569.0,"Pidgeon, Aidan J",WFC3 UVIS CCD Unflashed (CTE) Monitor,59816.00461142361,59816.0150278588,900.0,2,16569
SN2007af,215.587625,-0.393778,40.74899649305542,hst_16287_28_wfc3_uvis_f275w_iebj28,SN2007AF-HOST,WFC3/UVIS,F275W,16287.0,"Lyman, Joseph",,59324.9286166,59324.94919528,1500.0,3,16287
SN2007af,215.587625,-0.393778,40.74899649305542,iebj28010,SN2007AF-HOST,WFC3/UVIS,F275W,16287.0,"Lyman, Joseph",A public UV snapshot survey of core-collapse supernova hosts in IF,59324.92861658565,59324.94919528935,1500.0,3,16287
SN2008ha,353.719542,18.2265,4.415557927090853,hst_14668_42_wfc3_uvis_f275w_id9642,SN2008HA,WFC3/UVIS,F275W,14668.0,"Filippenko, Alex V.",,57674.72981762,57674.74698186,780.0,3,14668
SN2008ha,353.719542,18.2265,4.415557927090853,id9642010,SN2008HA,WFC3/UVIS,F275W,14668.0,"Filippenko, Alex V.","Continuing a Snapshot Survey of the Sites of Recent, Nearby Supernovae: Cycle 24",57674.72981762732,57674.74698186343,780.0,3,14668
SN2012bl,305.980333,-48.354806,0.0017876517932456,hst_12582_05_wfc3_uvis_f275w_ibxb05,SN2012BL,WFC3/UVIS,F275W,12582.0,"Goobar, Ariel",,56033.75273771,56033.77271454,362.0,3,12582
SN2012bl,305.980333,-48.354806,0.0017876517932456,hst_12582_07_wfc3_uvis_f275w_ibxb07,SN2012BL,WFC3/UVIS,F275W,12582.0,"Goobar, Ariel",,56038.14658031,56038.16655713,362.0,3,12582
SN2012bl,305.980333,-48.354806,0.0017876517932456,ibxb05010,SN2012BL,WFC3/UVIS,F275W,12582.0,"Goobar, Ariel",Probing the explosion environment and origin of Type Ia supernovae,56033.75273769676,56033.77271454861,362.0,3,12582
SN2012bl,305.980333,-48.354806,0.0017876517932456,ibxb07010,SN2012BL,WFC3/UVIS,F275W,12582.0,"Goobar, Ariel",Probing the explosion environment and origin of Type Ia supernovae,56038.16446215278,56038.1665571412,362.0,3,12582
SN2013fz,65.9435,-51.596194,18.01241990367502,hst_15166_57_wfc3_uvis_f275w_idi157,PSNJ0423-5136,WFC3/UVIS,F275W,15166.0,"Filippenko, Alex V.",,58623.15943052,58623.17659476,780.0,3,15166
SN2013fz,65.9435,-51.596194,18.01241990367502,idi157010,PSNJ0423-5136,WFC3/UVIS,F275W,15166.0,"Filippenko, Alex V.","Continuing a Snapshot Survey of the Sites of Recent, Nearby Supernovae: Cycles 25 & 26",58623.159430520835,58623.176594756944,780.0,3,15166
SN2013gv,47.488792,19.213667,0.90220764232256,hst_14779_48_wfc3_uvis_f275w_id7648,SN2013GV,WFC3/UVIS,F275W,14779.0,"Graham, Melissa Lynn",,57771.04721929,57771.05870057,858.0,3,14779
SN2013gv,47.488792,19.213667,0.90220764232256,id7648010,SN2013GV,WFC3/UVIS,F275W,14779.0,"Graham, Melissa Lynn",A NUV Imaging Survey for Circumstellar Material in Type Ia Supernovae,57771.047219293985,57771.0587005787,858.0,3,14779
SN2013hh,172.268208,17.235972,0.0013976033646832,hst_14779_34_wfc3_uvis_f275w_id7634,SN2013HH,WFC3/UVIS,F275W,14779.0,"Graham, Melissa Lynn",,57915.05631982,57915.0678011,858.0,3,14779
SN2013hh,172.268208,17.235972,0.0013976033646832,id7634010,SN2013HH,WFC3/UVIS,F275W,14779.0,"Graham, Melissa Lynn",A NUV Imaging Survey for Circumstellar Material in Type Ia Supernovae,57915.05631982639,57915.067801122685,858.0,3,14779
SN2014I,85.5825,-25.544417,0.0011999879860647,hst_14779_44_wfc3_uvis_f275w_id7644,SN2014I,WFC3/UVIS,F275W,14779.0,"Graham, Melissa Lynn",,57732.24114146,57732.25262274,858.0,3,14779
SN2014I,85.5825,-25.544417,0.0011999879860647,id7644010,SN2014I,WFC3/UVIS,F275W,14779.0,"Graham, Melissa Lynn",A NUV Imaging Survey for Circumstellar Material in Type Ia Supernovae,57732.24114146991,57732.2526227662,858.0,3,14779
SN2014dl,247.442042,8.641833,0.0016873661042332,hst_14779_36_wfc3_uvis_f275w_id7636,SN2014DL,WFC3/UVIS,F275W,14779.0,"Graham, Melissa Lynn",,57932.48944593,57932.50092721,858.0,3,14779
SN2014dl,247.442042,8.641833,0.0016873661042332,id7636010,SN2014DL,WFC3/UVIS,F275W,14779.0,"Graham, Melissa Lynn",A NUV Imaging Survey for Circumstellar Material in Type Ia Supernovae,57932.489445914354,57932.50092719907,858.0,3,14779
SN2015F,114.065667,-69.506389,0.0005800562503405,hst_14779_41_wfc3_uvis_f275w_id7641,SN2015F,WFC3/UVIS,F275W,14779.0,"Graham, Melissa Lynn",,57708.67400793,57708.68548921,858.0,3,14779
SN2015F,114.065667,-69.506389,0.0005800562503405,id7641010,SN2015F,WFC3/UVIS,F275W,14779.0,"Graham, Melissa Lynn",A NUV Imaging Survey for Circumstellar Material in Type Ia Supernovae,57708.67400795139,57708.68548920139,858.0,3,14779
SNhunt281,226.375292,1.634,0.0011993920705889,hst_14779_43_wfc3_uvis_f275w_id7643,SN2015BP,WFC3/UVIS,F275W,14779.0,"Graham, Melissa Lynn",,57866.25495346,57866.26643473,858.0,3,14779
SNhunt281,226.375292,1.634,0.0011993920705889,id7643010,SN2015BP,WFC3/UVIS,F275W,14779.0,"Graham, Melissa Lynn",A NUV Imaging Survey for Circumstellar Material in Type Ia Supernovae,57866.25495347222,57866.26643472222,858.0,3,14779
