###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59669.867703  21.227  0.932    12   11 c  0   1.05 116.30992 -71.40390  2190.11  1282.49 2.66 2.52 -47.9 -0.384 19.67 21.64 03a59670o0335c
59669.873950 -21.278  0.953   -11   11 c  0   1.05 116.30992 -71.40390  2127.29  1207.98 2.79 2.67 -47.7 -0.375 19.62 21.62 03a59670o0347c
59669.887798  21.418  1.302    10   13 c  0   0.83 116.30992 -71.40390  2099.94  1324.97 2.84 2.75 -47.0 -0.379 19.57 21.63 03a59670o0377c
59672.077875  20.993  0.805    14   12 o  0   0.79 116.30992 -71.40390  5350.38  7018.34 2.14 1.90 -73.1 -0.430 19.37 20.92 04a59672o0253o
59672.085140  20.391  0.609    25   15 o  0   0.83 116.30992 -71.40390  5361.44  7054.45 2.28 2.07 -78.5 -0.413 19.31 20.97 04a59672o0269o
59672.087849  21.461  1.342     9   13 o  0   1.10 116.30992 -71.40390  5306.23  6975.90 2.18 1.94 -76.7 -0.431 19.32 20.95 04a59672o0275o
59672.097391  21.602  1.730     8   14 o  0   0.67 116.30992 -71.40390  5278.22  7089.06 2.09 1.88 -72.2 -0.446 19.36 20.98 04a59672o0296o
59676.021474  21.285  1.972    11   22 o  0   0.72 116.30992 -71.40390  3533.20  7163.63 2.25 2.05 -53.8 -0.438 19.14 20.56 04a59676o0133o
59676.024638  23.064  8.286     2   18 o  0   0.62 116.30992 -71.40390  3548.98  7199.18 2.43 2.08 -69.8 -0.429 19.17 20.63 04a59676o0140o
59676.031018  20.282  0.611    28   17 o  0   1.18 116.30992 -71.40390  3491.80  7120.27 2.29 1.92 -75.9 -0.433 19.20 20.62 04a59676o0154o
59676.041492  22.436  4.800     4   18 o  0   0.54 116.30992 -71.40390  3461.23  7233.58 2.12 1.86 -66.4 -0.437 19.30 20.61 04a59676o0177o
59677.848119 -21.135  1.282   -13   16 o  0   0.82 116.30992 -71.40390  6258.57  3316.36 2.86 2.56 -53.5 -0.417 19.22 20.74 03a59678o0225o
59677.850878  21.879  2.405     6   16 o  0   0.81 116.30992 -71.40390  6276.95  3354.03 2.83 2.52 -52.5 -0.412 19.24 20.74 03a59678o0231o
59677.860477  20.727  0.918    19   17 o  0   0.88 116.30992 -71.40390  6218.95  3272.78 3.16 2.85 -53.6 -0.407 19.15 20.74 03a59678o0252o
59677.871962  21.298  1.620    11   18 o  0   0.66 116.30992 -71.40390  6193.73  3382.73 3.18 2.86 -50.5 -0.386 19.09 20.73 03a59678o0277o
59680.069433 -23.623 11.889    -1   15 o  0   1.28 116.30992 -71.40390  3494.06  7135.95 2.35 2.11 -79.7 -0.406 18.96 20.25 04a59680o0251o
59680.073106  22.247  5.061     5   23 o  0   0.70 116.30992 -71.40390  3508.21  7173.72 2.37 2.02 -82.4 -0.400 18.97 20.22 04a59680o0259o
59680.081818 -21.588  2.439    -8   20 o  0   0.88 116.30992 -71.40390  3448.91  7095.50 2.27 1.93 -80.6 -0.406 19.04 20.26 04a59680o0278o
59680.092439  20.406  0.801    25   20 o  0   0.83 116.30992 -71.40390  3421.39  7209.37 2.42 2.13 -86.0 -0.407 19.00 20.32 04a59680o0301o
59684.003162 -21.928  5.517    -6   34 o  0   0.76 116.30992 -71.40390 10452.18  3477.25 3.09 2.38 -15.8 -0.362 18.55 19.42 04a59684o0069o
59684.005909  19.736  0.757    46   35 o  0   0.75 116.30992 -71.40390 10467.65  3518.76 2.99 2.22 -16.4 -0.377 18.59 19.43 04a59684o0075o
